Operatiune   Data   ID Client   Detalii
Adauga client, 2026-05-28T11:45:17.813997400, 1, Client adaugat cu succes
Creare cont, 2026-05-28T11:46:32.837256400, 1, Cont activat cu succes.
Deschidere cont curent, 2026-05-28T11:46:32.838265600, 1, RO23LORI0000000000014567
Creare cont, 2026-05-28T11:46:44.149039600, 1, Cont activat cu succes.
Deschidere cont economii, 2026-05-28T11:46:44.150039100, 1, RO24LORI0000000000014568
Creare cont, 2026-05-28T11:47:08.615209900, 1, Cont activat cu succes.
Deschidere depozit, 2026-05-28T11:47:08.615209900, 1, RO25LORI0000000000014569
Depunere, 2026-05-28T11:47:22.001646400, 1, suma 400.0 in RO23LORI0000000000014567
Emitere card debit, 2026-05-28T11:48:44.771247200, 1, Cardul4000000000000001
Emitere card credit, 2026-05-28T11:48:57.095237100, 1, Cardul4000000000000002
Modificare limita, 2026-05-28T11:49:31.595591700, 1, Cardul4000000000000001 limita: 3000.0
Blocare card, 2026-05-28T11:49:39.841245500, 1, Cardul4000000000000002
Transfer, 2026-05-28T11:50:50.327972900, 1, 200.0 RON in contul RO24LORI0000000000014568
Transfer, 2026-05-28T11:53:09.480202300, 1, 1.0 RON in contul RO23LORI0000000000014567
Transfer, 2026-05-28T11:53:38.328828800, 1, 2.0 RON in contul RO25LORI0000000000014569
Plata card esuata, 2026-05-28T11:54:24.868671700, 1, Card 0001
Adauga client, 2026-05-28T12:07:02.113494900, 1, Client adaugat cu succes
Creare cont, 2026-05-28T12:08:27.558391900, 1, Cont activat cu succes.
Deschidere cont curent, 2026-05-28T12:08:27.560687900, 1, RO23LORI0000000000014567
Emitere card debit, 2026-05-28T12:08:37.598092400, 1, Cardul4000000000000001
